scorer,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310,DLC_Resnet50_MAIN-SIDE #1Jun10shuffle1_snapshot_best-310
bodyparts,toe,toe,toe,MTP,MTP,MTP,ankle,ankle,ankle,knee,knee,knee,hip,hip,hip,iliac_crest,iliac_crest,iliac_crest
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1789.5137,193.29916,0.09908843,1786.4669,175.52855,0.22670351,1786.3386,159.56091,0.22255744,1834.0518,159.98021,0.10000649,1825.8707,109.38828,0.4587377,1854.8297,99.54709,0.24715011
1,1785.4872,199.69618,0.15917149,1786.9335,177.40645,0.38039854,1785.017,158.32893,0.34145692,1840.5016,162.26042,0.1290312,1827.84,110.63478,0.36939636,1855.8202,99.15911,0.18098682
2,1788.847,194.45833,0.13826159,1786.5297,176.02252,0.3155801,1786.0659,158.198,0.24890317,1839.9475,164.16539,0.15174145,1828.694,112.05961,0.42174247,1856.9713,104.02688,0.13566306
3,1787.9033,196.14384,0.17091204,1787.0557,177.63608,0.37857643,1785.7961,158.28413,0.36212358,1835.386,171.53117,0.22419256,1822.3657,118.46906,0.42631504,1855.0779,99.36181,0.16570368
4,1784.7811,199.78056,0.16143712,1787.5107,177.39029,0.3495655,1785.9244,157.76448,0.33863023,1839.2545,164.4313,0.19053204,1827.1763,111.23265,0.47239605,1856.1011,104.56847,0.19520903
5,1784.4429,199.8919,0.15889418,1788.0884,177.70328,0.33543974,1785.0927,157.23277,0.34199828,1839.6415,165.48996,0.18851386,1822.0117,118.83992,0.4079221,1855.9786,105.59374,0.18713099
6,1785.175,200.01587,0.17212777,1788.2778,178.34811,0.37142417,1785.9998,156.68173,0.32767257,1837.3346,172.96072,0.21608649,1823.7823,120.773926,0.4589417,1857.6523,106.5677,0.16311122
7,1783.3138,198.51633,0.17271176,1789.1743,179.00735,0.42850608,1785.2999,155.1001,0.5556292,1847.4307,170.80696,0.19259252,1825.361,118.93875,0.41758123,1855.0743,99.33615,0.19060436
